norad_cat_id,object_name,country_code,rcs_size,min_separation_km,hours_within_100km,prior,likelihood_ratio,posterior,propagation_failed
23317,OKEAN 4,CIS,LARGE,11.5283,1.3333,0.05,5.1298,0.2126,False
54752,SHIYAN 21 (SY-21),PRC,LARGE,16.1331,0.1667,0.05,4.0215,0.1747,False
26086,DUMSAT,CIS,LARGE,16.8472,0.5,0.05,3.8924,0.17,False
47231,GAOFEN 14,PRC,LARGE,20.297,0.1667,0.05,3.3715,0.1507,False
19210,COSMOS 1953,CIS,LARGE,21.3527,0.5,0.05,3.2392,0.1457,False
58660,TIANMU-1 19,PRC,MEDIUM,21.3584,6.5,0.05,3.2385,0.1456,False
58661,TIANMU-1 20,PRC,MEDIUM,21.5839,7.0,0.05,3.2116,0.1446,False
43662,CFOSAT,PRC,LARGE,21.9815,0.3333,0.05,3.1652,0.1428,False
44836,JILIN-01 GAOFEN 2B,PRC,LARGE,22.3335,0.5,0.05,3.1253,0.1413,False
59773,COSMOS 2576,CIS,LARGE,22.8444,4.6667,0.05,3.0691,0.1391,False
64199,SJ-26,PRC,LARGE,26.8703,1.0,0.05,2.6882,0.1239,False
38257,YAOGAN 14,PRC,LARGE,28.1931,0.3333,0.05,2.5827,0.1197,False
58663,TIANMU-1 22,PRC,MEDIUM,28.225,5.0,0.05,2.5803,0.1196,False
57889,YAOGAN-39 02B,PRC,LARGE,31.5984,0.3333,0.05,2.3455,0.1099,False
16791,COSMOS 1758,CIS,LARGE,32.7808,0.6667,0.05,2.2728,0.1068,False
55244,YAOGAN-37,PRC,LARGE,32.846,0.3333,0.05,2.2689,0.1067,False
45625,GAOFEN 9 02,PRC,LARGE,33.6704,0.1667,0.05,2.221,0.1047,False
62334,PIESAT-2 10,PRC,LARGE,34.0811,0.6667,0.05,2.1978,0.1037,False
57519,HJ-2F,PRC,LARGE,34.385,0.3333,0.05,2.1809,0.103,False
65120,GEESAT 4-02,PRC,MEDIUM,34.5535,0.1667,0.05,2.1717,0.1026,False
54376,YAOGAN-36 03C,PRC,LARGE,35.0414,0.5,0.05,2.1454,0.1015,False
43180,KANOPUS-V 3,CIS,LARGE,35.9761,0.1667,0.05,2.0967,0.0994,False
52320,SUPERVIEW NEO-1 01,PRC,LARGE,36.2842,0.3333,0.05,2.0812,0.0987,False
62111,GUANGCHUAN 01,PRC,LARGE,36.3547,0.1667,0.05,2.0776,0.0986,False
43194,ZHANGHENG 1,PRC,LARGE,36.713,1.0,0.05,2.0598,0.0978,False
45939,ZINYUAN-3,PRC,LARGE,36.8536,0.3333,0.05,2.0529,0.0975,False
63125,SUPERVIEW NEO-1 03,PRC,LARGE,37.374,0.6667,0.05,2.0278,0.0964,False
43876,KANOPUS-V 5,CIS,LARGE,37.8249,1.0,0.05,2.0065,0.0955,False
58759,YUNYAO-1 19,PRC,MEDIUM,38.8519,0.3333,0.05,1.9596,0.0935,False
49962,SHIJIAN 6 05B (SJ-6 05B),PRC,LARGE,41.2451,0.6667,0.05,1.858,0.0891,False
61191,JILIN-01 KUANFU 02B 3,PRC,LARGE,41.5907,0.5,0.05,1.8441,0.0885,False
49338,JILIN-01 GAOFEN 2F,PRC,LARGE,42.465,0.5,0.05,1.81,0.087,False
44703,GAOFEN 7,PRC,LARGE,42.481,0.3333,0.05,1.8094,0.087,False
49961,SHIJIAN 6 05A (SJ-6 05A),PRC,LARGE,44.9531,0.1667,0.05,1.7192,0.083,False
67131,ZY 3 04,PRC,,45.0262,0.5,0.05,1.7167,0.0829,False
14699,COSMOS 1536,CIS,LARGE,45.1177,0.1667,0.05,1.7135,0.0827,False
24925,DUMMY MASS 1,PRC,LARGE,45.439,0.5,0.05,1.7025,0.0822,False
67300,TIANHUI 7,PRC,,45.469,0.3333,0.05,1.7015,0.0822,False
54042,YAOGAN-36 02A,PRC,LARGE,46.2713,0.1667,0.05,1.6745,0.081,False
26366,SIMSAT 2,CIS,LARGE,46.953,0.1667,0.05,1.6523,0.08,False
58703,TIANMU-1 18,PRC,MEDIUM,47.0562,0.1667,0.05,1.649,0.0799,False
33320,HJ-1A,PRC,LARGE,47.8573,0.1667,0.05,1.6237,0.0787,False
53947,YAOGAN-36 01C,PRC,LARGE,48.0487,0.1667,0.05,1.6177,0.0785,False
53128,SUPERVIEW NEO-2 01,PRC,LARGE,49.0036,0.3333,0.05,1.5887,0.0772,False
60461,YAOGAN-43 O1D,PRC,LARGE,49.5708,0.3333,0.05,1.5719,0.0764,False
61571,GAOFEN 12-05,PRC,LARGE,50.0034,0.1667,0.05,1.5594,0.0758,False
39490,COSMOS 2493 (SKRL 756),CIS,MEDIUM,50.3981,0.6667,0.05,1.5481,0.0753,False
58662,TIANMU-1 21,PRC,MEDIUM,50.6966,1.0,0.05,1.5396,0.075,False
58700,TIANMU-1 15,PRC,LARGE,50.8171,0.3333,0.05,1.5362,0.0748,False
63208,SUPERVIEW NEO 3-02,PRC,LARGE,52.3622,2.1667,0.05,1.494,0.0729,False
7337,COSMOS 660,CIS,LARGE,52.771,0.3333,0.05,1.4832,0.0724,False
20774,COSMOS 2098,CIS,LARGE,53.5491,0.1667,0.05,1.4631,0.0715,False
53318,YAOGAN-35 03B,PRC,LARGE,53.973,0.1667,0.05,1.4523,0.071,False
41394,COSMOS 2515,CIS,LARGE,54.3959,0.3333,0.05,1.4418,0.0705,False
63344,YUNYAO-1 43,PRC,MEDIUM,54.7885,0.1667,0.05,1.4321,0.0701,False
61730,COSMOS 2579,CIS,LARGE,54.8731,0.1667,0.05,1.43,0.07,False
61190,JILIN-01 KUANFU 02B 2,PRC,LARGE,55.3088,0.3333,0.05,1.4194,0.0695,False
61189,JILIN-01 KUANFU 02B 1,PRC,LARGE,56.286,0.1667,0.05,1.3962,0.0685,False
61747,POLYTECH UNIVERSE-4,CIS,SMALL,87.7837,0.1667,0.075,0.9043,0.0683,False
44424,COSMOS 2538,CIS,MEDIUM,56.6873,0.1667,0.05,1.3869,0.068,False
19573,COSMOS 1975,CIS,LARGE,56.988,0.3333,0.05,1.3799,0.0677,False
60249,GAOFEN 11-05,PRC,LARGE,57.134,0.1667,0.05,1.3766,0.0676,False
58557,YAOGAN-39 05A,PRC,LARGE,57.1941,0.1667,0.05,1.3752,0.0675,False
46807,YAOGAN-30 U,PRC,LARGE,58.1258,0.1667,0.05,1.3544,0.0665,False
20510,OKEAN 2,CIS,LARGE,58.3383,0.6667,0.05,1.3497,0.0663,False
63126,SUPERVIEW NEO-1 04,PRC,LARGE,58.707,0.8333,0.05,1.3416,0.066,False
49029,YAOGAN-30 AF,PRC,LARGE,58.9571,0.3333,0.05,1.3362,0.0657,False
14147,COSMOS 1470,CIS,LARGE,59.9917,0.3333,0.05,1.3143,0.0647,False
29228,RESURS DK-1,CIS,LARGE,60.6063,0.1667,0.05,1.3016,0.0641,False
43029,YAOGAN-30 E,PRC,LARGE,60.7353,0.1667,0.05,1.2989,0.064,False
28737,SJ-7,PRC,LARGE,60.8172,0.3333,0.05,1.2973,0.0639,False
39491,COSMOS 2494 (SKRL 756),CIS,MEDIUM,61.0473,0.3333,0.05,1.2926,0.0637,False
58909,GEESAT 2-05,PRC,MEDIUM,61.3645,0.1667,0.05,1.2862,0.0634,False
52713,COSMOS 2556,CIS,LARGE,62.3716,0.5,0.05,1.2663,0.0625,False
22286,COSMOS 2228,CIS,LARGE,63.0982,0.1667,0.05,1.2523,0.0618,False
58201,TIANHUI 5B,PRC,LARGE,63.4341,0.1667,0.05,1.2459,0.0615,False
37875,YAOGAN 12,PRC,LARGE,63.4833,0.1667,0.05,1.245,0.0615,False
49393,YAOGAN-35 C,PRC,LARGE,63.553,0.1667,0.05,1.2437,0.0614,False
58648,TIANMU-1 14,PRC,MEDIUM,63.6511,0.1667,0.05,1.2419,0.0614,False
58702,TIANMU-1 17,PRC,LARGE,63.7747,0.3333,0.05,1.2395,0.0612,False
58701,TIANMU-1 16,PRC,MEDIUM,64.3531,0.3333,0.05,1.2288,0.0607,False
21397,OKEAN 3,CIS,LARGE,65.0128,0.5,0.05,1.2168,0.0602,False
64962,ENSHI XIDA SHANQUAN,PRC,MEDIUM,65.3991,0.5,0.05,1.2098,0.0599,False
61617,YAOGAN-43 03A,PRC,LARGE,65.8247,0.1667,0.05,1.2023,0.0595,False
58199,TIANHUI 5A,PRC,LARGE,66.5006,0.1667,0.05,1.1904,0.059,False
52150,TK-2,PRC,MEDIUM,66.6974,0.1667,0.05,1.187,0.0588,False
52443,JILIN-01 KUANFU 01C,PRC,LARGE,66.7858,0.5,0.05,1.1855,0.0587,False
43943,JILIN-01-09,PRC,MEDIUM,67.0779,0.3333,0.05,1.1805,0.0585,False
